yacht_name,yacht_url,yacht_builder,yacht_length,yacht_date,yacht_tspeed,yacht_cspeed,yacht_range,yacht_beam,yacht_guests,yacht_crew
Ace,http://www.boatinternational.com/yachts/the-superyacht-directory/ace--56975,,,,,,,,,
Areti,http://www.boatinternational.com/yachts/the-superyacht-directory/areti--84001,,,,,,,,,
Valerie,http://www.boatinternational.com/yachts/the-superyacht-directory/valerie--60535,,,,,,,,,
Solandge,http://www.boatinternational.com/yachts/the-superyacht-directory/solandge--56969,,,,,,,,,
Pacific,http://www.boatinternational.com/yachts/the-superyacht-directory/pacific--60531,,,,,,,,,
Vibrant Curiosity's,http://www.boatinternational.com/yachts/the-superyacht-directory/vibrant-curiosity--55429,,,,,,,,,
Sunrays,http://www.boatinternational.com/yachts/the-superyacht-directory/sunrays--55433,,,,,,,,,
Amore Vero,http://www.boatinternational.com/yachts/the-superyacht-directory/st-princess-olga--56977,,,,,,,,,
Aquila,http://www.boatinternational.com/yachts/the-superyacht-directory/aquila--67805,,,,,,,,,
Aquijo,http://www.boatinternational.com/yachts/the-superyacht-directory/aquijo--39487,,,,,,,,,
Ecstasea,http://www.boatinternational.com/yachts/the-superyacht-directory/ecstasea--66593,,,,,,,,,
Seven Seas,http://www.boatinternational.com/yachts/the-superyacht-directory/seven-seas--55439,,,,,,,,,
Kingdom 5KR,http://www.boatinternational.com/yachts/the-superyacht-directory/kingdom-5kr--74941,,,,,,,,,
Arctic P,http://www.boatinternational.com/yachts/the-superyacht-directory/arctic-p--52107,,,,,,,,,
Musashi,http://www.boatinternational.com/yachts/the-superyacht-directory/musashi--66745,,,,,,,,,
Fountainhead,http://www.boatinternational.com/yachts/the-superyacht-directory/fountainhead--66743,,,,,,,,,
"'Love, life, liberty and luxury'",http://www.boatinternational.com/yachts/editorial-features/quattroelle-love-life-liberty-and-luxury-aboard-lurssen-s-88m-superyacht--303,,,,,,,,,
iconic yacht,http://www.boatinternational.com/yachts/editorial-features/iconic-yachts-maltese-falcon--51,,,,,,,,,
Asean Lady,http://www.boatinternational.com/yachts/the-superyacht-directory/asean-lady--49013,,,,,,,,,
Nirvana,http://www.boatinternational.com/yachts/the-superyacht-directory/nirvana--55443,,,,,,,,,
Barbara,http://www.boatinternational.com/yachts/the-superyacht-directory/barbara--39367,,,,,,,,,
Infinity,http://www.boatinternational.com/yachts/the-superyacht-directory/infinity--58351,,,,,,,,,
Lauren L,http://www.boatinternational.com/yachts/the-superyacht-directory/lauren-l--44549,,,,,,,,,
Lionheart,http://www.boatinternational.com/yachts/the-superyacht-directory/benetti-fb-262--37705,,,,,,,,,
Phoenix2,http://www.boatinternational.com/yachts/the-superyacht-directory/phoenix-2--60537,,,,,,,,,
Ice,http://www.boatinternational.com/yachts/the-superyacht-directory/ice--60571,,,,,,,,,
Nahlin,http://www.boatinternational.com/yachts/the-superyacht-directory/nahlin--73379,,,,,,,,,
Dubawi,http://www.boatinternational.com/yachts/the-superyacht-directory/dubawi--66569,,,,,,,,,
Lady Lara,http://www.boatinternational.com/yachts/the-superyacht-directory/lady-lara--81629,,,,,,,,,
Moonlight II,http://www.boatinternational.com/yachts/the-superyacht-directory/moonlight-ii--47433,,,,,,,,,
Queen Miri,http://www.boatinternational.com/yachts/the-superyacht-directory/queen-miri--58763,,,,,,,,,
Equanimity,http://www.boatinternational.com/yachts/the-superyacht-directory/equanimity--57683,,,,,,,,,
Aquarius,http://www.boatinternational.com/yachts/the-superyacht-directory/aquarius--87019,,,,,,,,,
Tatoosh,http://www.boatinternational.com/yachts/the-superyacht-directory/tatoosh--47511,,,,,,,,,
Royal Romance,http://www.boatinternational.com/yachts/the-superyacht-directory/royal-romance--82263,,,,,,,,,
Mayan Queen IV,http://www.boatinternational.com/yachts/the-superyacht-directory/mayan-queen-iv--73823,,,,,,,,,
Kalizma,http://www.boatinternational.com/yachts/the-superyacht-directory/kalizma--41495,,,,,,,,,
Palladium,http://www.boatinternational.com/yachts/the-superyacht-directory/palladium--73835,,,,,,,,,
Kismet,http://www.boatinternational.com/yachts/the-superyacht-directory/kismet--81259,,,,,,,,,
Vava II,http://www.boatinternational.com/yachts/the-superyacht-directory/vava-ii--67707,,,,,,,,,
Limitless,http://www.boatinternational.com/yachts/the-superyacht-directory/limitless--60599,,,,,,,,,
volume 3 of The Superyachts,https://estore.boatinternational.com/,,,,,,,,,
Faith,http://www.boatinternational.com/yachts/the-superyacht-directory/vertigo--87021,,,,,,,,,
Carinthia VII,http://www.boatinternational.com/yachts/the-superyacht-directory/carinthia-vii--60593,,,,,,,,,
Aviva,http://www.boatinternational.com/yachts/the-superyacht-directory/aviva--37855,,,,,,,,,
Madame Gu,http://www.boatinternational.com/yachts/the-superyacht-directory/madame-gu--57691,,,,,,,,,
Christina O,http://www.boatinternational.com/yachts/the-superyacht-directory/christina-o--44455,,,,,,,,,
I Dynasty,http://www.boatinternational.com/yachts/the-superyacht-directory/i-dynasty--39299,,,,,,,,,
Attessa IV,http://www.boatinternational.com/yachts/the-superyacht-directory/attessa-iv--63765,,,,,,,,,
Symphony,http://www.boatinternational.com/yachts/the-superyacht-directory/symphony--57133,,,,,,,,,
Loaloat Al-Behar,http://www.boatinternational.com/yachts/the-superyacht-directory/loaloat-al-behar--54079,,,,,,,,,
Quantum Blue,http://www.boatinternational.com/yachts/the-superyacht-directory/quantum-blue--81257,,,,,,,,,
Amadea,http://www.boatinternational.com/yachts/the-superyacht-directory/amadea--87271,,,,,,,,,
Lady Moura,http://www.boatinternational.com/yachts/the-superyacht-directory/lady-moura--73819,,,,,,,,,
Poseidonos,http://www.boatinternational.com/yachts/news/interior-design-studio-cqs-reveals-106m-poseidonos-superyacht-conversion--17825,,,,,,,,,
Sailing Yacht A,https://www.boatinternational.com/yachts/the-superyacht-directory/sailing-yacht-a--39349,,,,,,,,,
Andromeda,http://www.boatinternational.com/yachts/the-superyacht-directory/ulysses--39279,,,,,,,,,
Radiant,http://www.boatinternational.com/yachts/the-superyacht-directory/radiant--60543,,,,,,,,,
Ona,http://www.boatinternational.com/yachts/the-superyacht-directory/dilbar-ii--60547,,,,,,,,,
Jubilee,http://www.boatinternational.com/yachts/the-superyacht-directory/jubilee--39353,,,,,,,,,
Le Grand Bleu,http://www.boatinternational.com/yachts/the-superyacht-directory/le-grand-bleu--73657,,,,,,,,,
Pelorus,http://www.boatinternational.com/yachts/the-superyacht-directory/pelorus--60569,,,,,,,,,
Luna,http://www.boatinternational.com/yachts/the-superyacht-directory/luna--60695,,,,,,,,,
