status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
171955186207193_1063515977051105,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1063515977051105/?type=3',b'https://www.facebook.com/Intelvision/posts/1063515977051105:0',2016-09-25 23:34:02,2,0,0,2,0,0,0,0,0
171955186207193_1061438067258896,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1061438067258896/?type=3',b'https://www.facebook.com/Intelvision/posts/1061438067258896:0',2016-09-23 07:21:49,72,0,0,71,0,1,0,0,0
171955186207193_1061425747260128,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1061425747260128/?type=3',b'https://www.facebook.com/Intelvision/posts/1061425747260128:0',2016-09-23 06:57:12,76,2,1,75,1,0,0,0,0
171955186207193_1061416843927685,"b'Dear Customers,. \nDue to work being carried out on our network there will be a brief internet outage between 4pm to 5pm today. \nWe regret any inconvenience caused.'",,status,,b'https://www.facebook.com/Intelvision/posts/1061416843927685',2016-09-23 06:34:31,4,3,0,3,1,0,0,0,0
171955186207193_1060504017352301,"b'Dear Customers,. \nPlease note we are experiencing signal interruption at Montagne pose,Anse Boileau, Belombre-Mont simson. We apologise for any inconvenience.'",,status,,b'https://www.facebook.com/Intelvision/posts/1060504017352301',2016-09-22 01:53:42,2,2,0,2,0,0,0,0,0
171955186207193_1059962874073082,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1059962874073082/?type=3',b'https://www.facebook.com/Intelvision/posts/1059962874073082:0',2016-09-21 07:42:41,51,1,0,48,2,1,0,0,0
171955186207193_1059961517406551,b'Live La Liga matches tonight. Real Madrid v Villarreal 22:00PM & Barcelona v Atletico Madrid 11:55PM INTV SPORTS 2',b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1059961517406551/?type=3',b'https://www.facebook.com/Intelvision/posts/1059961517406551:0',2016-09-21 07:41:25,3,0,0,3,0,0,0,0,0
171955186207193_1059837770752259,"b'Dear Customers,\nThe P.U.C has advised that there is currently a power cut affecting the following areas La Louise to STA school ,MaJoie(SIM area),Anse Royale to Anse Forbans. \nPlease also note we are experiencing signal interruption at La Retraite,Part of Maldives & La Gogue,North east Point,Carana. We apologise for any inconvenience.'",,status,,b'https://www.facebook.com/Intelvision/posts/1059837770752259',2016-09-21 03:11:21,2,1,0,2,0,0,0,0,0
171955186207193_1059053630830673,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1059053630830673/?type=3',b'https://www.facebook.com/Intelvision/posts/1059053630830673:0',2016-09-20 02:57:24,31,2,1,29,0,0,0,1,1
171955186207193_1058443750891661,b'Live Bundesliga Match Wednesday 21st September Bayern Munch v Hertha Berlin on INTV SPORTS 8 KICK-OFF 22:00PM',b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1058443750891661/?type=3',b'https://www.facebook.com/Intelvision/posts/1058443750891661:0',2016-09-19 07:04:05,2,1,0,2,0,0,0,0,0
171955186207193_1056671521068884,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1056671521068884/?type=3',b'https://www.facebook.com/Intelvision/posts/1056671521068884:0',2016-09-17 00:10:41,159,1,2,158,1,0,0,0,0
171955186207193_1055320401203996,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1055320401203996/?type=3',b'https://www.facebook.com/Intelvision/posts/1055320401203996:0',2016-09-15 05:25:51,92,0,1,90,2,0,0,0,0
171955186207193_1054612351274801,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1054612351274801/?type=3',b'https://www.facebook.com/Intelvision/posts/1054612351274801:0',2016-09-14 07:59:09,91,0,1,90,1,0,0,0,0
171955186207193_1054400717962631,"b'Dear Customers,\nThe P.U.C has advised that there is currently a power cut affecting the following areas Le-Roche,Brilliant, Petit Paris,Cascade,Talbot & Part of Pointe Larue. Power is Schedule to return at 15:30PM.'",,status,,b'https://www.facebook.com/Intelvision/posts/1054400717962631',2016-09-14 01:01:44,2,0,0,2,0,0,0,0,0
171955186207193_1053740178028685,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1053740178028685/?type=3',b'https://www.facebook.com/Intelvision/posts/1053740178028685:0',2016-09-13 05:25:25,99,1,1,97,2,0,0,0,0
171955186207193_1050362795033090,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1050362795033090/?type=3',b'https://www.facebook.com/Intelvision/posts/1050362795033090:0',2016-09-09 05:13:14,43,0,1,43,0,0,0,0,0
171955186207193_1050225098380193,,b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1050225098380193/?type=3',b'https://www.facebook.com/Intelvision/posts/1050225098380193:0',2016-09-09 00:54:40,138,0,4,138,0,0,0,0,0
171955186207193_1049329428469760,"b'In a world of vampires, she bites back. VAN HELSING Premiers on Syfy September 23nd . Available only on extravagance bouquet.'",,video,b'https://www.facebook.com/Intelvision/videos/1049329428469760/',b'https://www.facebook.com/Intelvision/videos/1049329428469760/',2016-09-08 00:07:10,7,0,1,7,0,0,0,0,0
171955186207193_1048815135187856,b'Coming up This September.... The World of Sports At your Finger tips.',,video,b'https://www.facebook.com/Intelvision/videos/1048815135187856/',b'https://www.facebook.com/Intelvision/videos/1048815135187856/',2016-09-07 09:41:28,4,0,0,4,0,0,0,0,0
171955186207193_1048742798528423,b'Manchester will be RED or BLUE?',b'Timeline Photos',photo,b'https://www.facebook.com/Intelvision/photos/a.195551917180853.43188.171955186207193/1048742798528423/?type=3',b'https://www.facebook.com/Intelvision/posts/1048742798528423:0',2016-09-07 07:53:18,163,18,4,158,5,0,0,0,0
