yacht_name,yacht_url,yacht_builder,yacht_length,yacht_date,yacht_tspeed,yacht_cspeed,yacht_range,yacht_beam,yacht_guests,yacht_crew
Boadicea,http://www.boatinternational.com/yachts/the-superyacht-directory/reborn--44009,Amels, 76.61m , 1999 , 15kts , 14kts , 4200nm , 14.0m , 12 , 25 
Samar,http://www.boatinternational.com/yachts/the-superyacht-directory/samar--45331,Devonport, 77.42m , 2006 , 16kts , 14kts ,, 13.11m , 12 , 25 
Smeralda,http://www.boatinternational.com/yachts/the-superyacht-directory/smeralda--65229,Silver Yachts, 77.00m , 2012 , 27kts , 18kts , 4500nm , 10.0m , 20 , 16 
Silver Fast,http://www.boatinternational.com/yachts/the-superyacht-directory/silver-fast--39425,Silver Yachts, 77.00m , 2015 , 27kts , 22kts ,, 10.0m , 18 ,
Legend,http://www.boatinternational.com/yachts/the-superyacht-directory/legend--46411,IHC Verschure, 77.40m , 1974 , 17kts , 14kts , 15300nm , 13.5m , 26 , 30 
Tango,http://www.boatinternational.com/yachts/the-superyacht-directory/tango--66625,Feadship, 77.70m , 2011 , 21kts , 15kts ,, 12.2m , 14 , 22 
Sea Ranger,http://www.boatinternational.com/yachts/the-superyacht-directory/sea-ranger--52099,Schichau-Unterweser, 77.40m , 1973 , 18kts , 16kts , 31000nm , 13.23m , 10 , 20 
Montkaj,http://www.boatinternational.com/yachts/the-superyacht-directory/montkaj--72489,Amels, 78.03m , 1995 , 18kts , 15kts ,, 12.89m , 26 , 22 
Venus,http://www.boatinternational.com/yachts/the-superyacht-directory/venus--58017,Feadship, 78.20m , 2012 ,,,, 11.8m ,,
M5,http://www.boatinternational.com/yachts/the-superyacht-directory/m5--42625,Vosper Thornycroft, 78.40m , 2004 , 16kts , 14kts , 3500nm , 14.8m , 12 , 14 
Titan,http://www.boatinternational.com/yachts/the-superyacht-directory/titan--72781,Abeking & Rasmussen, 78.43m , 2010 , 16kts , 14kts ,, 12.4m ,,
Eminence,http://www.boatinternational.com/yachts/the-superyacht-directory/eminence--43793,Abeking & Rasmussen, 78.43m , 2008 , 16kts , 14kts , 6000nm , 12.4m , 14 , 19 
Eminence,http://www.boatinternational.com/yachts/the-superyacht-directory/eminence--43793,Abeking & Rasmussen, 78.43m , 2008 , 16kts , 14kts , 6000nm , 12.4m , 14 , 19 
Amaryllis,http://www.boatinternational.com/yachts/the-superyacht-directory/amaryllis--37777,Abeking & Rasmussen, 78.43m , 2011 , 16kts , 14kts , 5500nm , 12.4m , 14 , 19 
Tueq,http://www.boatinternational.com/yachts/the-superyacht-directory/tueq--49543,Van Der Giessen-De-Noord, 77.60m , 2002 , 19kts , 16kts , 5500nm , 13.5m , 30 , 21 
Hampshire II,http://www.boatinternational.com/yachts/the-superyacht-directory/hampshire-ii--58011,Feadship, 78.50m , 2012 , 16kts , 14kts ,, 12.7m , 14 , 23 
Delphine,http://www.boatinternational.com/yachts/the-superyacht-directory/delphine--46015,Great Lakes Ew, 78.55m , 1921 , 13kts , 10kts , 3000nm , 10.82m , 26 , 32 
Pegasus VIII,http://www.boatinternational.com/yachts/the-superyacht-directory/pegasus-viii--52783,Royal Denship, 78.60m , 2003 , 18kts , 17kts , 7000nm , 14.4m , 12 , 26 
Al Diriyah,http://www.boatinternational.com/yachts/the-superyacht-directory/al-diriyah--59249,National Bulk, 78.61m , 1960 , 15kts , 13kts , 5500nm , 11.31m , 16 , 34 
Chakra,http://www.boatinternational.com/yachts/the-superyacht-directory/salem--49525,Van Der Werf, 86.00m , 1963 , 15kts , 14kts , 10000nm , 12.83m , 42 , 43 
Athena,http://www.boatinternational.com/yachts/the-superyacht-directory/athena--52791,Royal Huisman, 90.00m , 2004 , 18kts , 14kts , 4000nm , 12.2m , 10 , 20 
Stargate,http://www.boatinternational.com/yachts/the-superyacht-directory/stargate--55423,Oceanco, 80.00m , 2001 , 24kts , 20kts , 3600nm , 13.0m , 24 , 29 
Constellation,http://www.boatinternational.com/yachts/the-superyacht-directory/constellation--55445,Oceanco, 80.01m , 1999 , 24kts , 20kts , 3600nm , 13.02m , 19 , 22 
Chopi Chopi,http://www.boatinternational.com/yachts/the-superyacht-directory/chopi-chopi--68543,CRN, 80.00m , 2013 , 16kts , 15kts , 6000nm , 13.5m , 12 , 30 
Amevi,http://www.boatinternational.com/yachts/the-superyacht-directory/amevi--55437,Oceanco, 80.00m , 2007 , 20kts , 16kts , 5500nm , 14.2m , 16 , 30 
Grand Ocean,http://www.boatinternational.com/yachts/the-superyacht-directory/golden-odyssey-ii--43459,Blohm & Voss, 80.15m , 1990 , 18kts , 16kts ,, 12.8m , 12 , 25 
Endeavour,http://www.boatinternational.com/yachts-for-sale/endeavour--81523,Camper & Nicholsons, 39.56m , 1934 , 13kts , 10kts , 2500nm , 6.68m , 8 , 8 
Bart Roberts,http://www.boatinternational.com/yachts/the-superyacht-directory/bart-roberts--70589,Canadian Vickers, 80.77m , 1963 , 13kts , 12kts , 10000nm , 12.8m , 20 , 24 
Nero,http://www.boatinternational.com/yachts/the-superyacht-directory/nero--42833,Corsair Yachts, 90.10m , 2008 , 17kts , 13kts , 6490nm , 12.0m , 12 , 20 
Alfa Nero,http://www.boatinternational.com/yachts/the-superyacht-directory/alfa-nero--55431,Oceanco, 81.27m , 2007 , 20kts , 17kts , 5500nm , 14.2m , 12 , 28 
Kibo,http://www.boatinternational.com/yachts/the-superyacht-directory/kibo--57667,Abeking & Rasmussen, 81.80m , 2014 , 16kts , 14kts , 4500nm , 12.6m , 10 , 17 
Sarafsa,http://www.boatinternational.com/yachts/the-superyacht-directory/sarafsa--67723,Devonport, 82.00m , 2008 , 15kts , 13kts , 6000nm , 15.0m ,,
Graceful,http://www.boatinternational.com/yachts/the-superyacht-directory/graceful--51957,Blohm & Voss, 82.00m , 2014 , 18kts , 16kts , 8000nm , 11.0m , 12 , 14 
Basrah Breeze,http://www.boatinternational.com/yachts/the-superyacht-directory/basrah-breeze--63355,Helsingor Vaerft, 81.99m , 1981 , 19kts , 16kts , 7000nm , 13.02m , 28 , 35 
Romea,http://www.boatinternational.com/yachts/the-superyacht-directory/romea--37853,Abeking & Rasmussen, 82.40m , 2015 , 16kts , 14kts , 4500nm , 12.6m ,,
Secret,http://www.boatinternational.com/yachts/the-superyacht-directory/secret--57685,Abeking & Rasmussen, 82.30m , 2013 , 13kts , 12kts ,, 12.4m , 12 ,
O’Mega,http://www.boatinternational.com/yachts/the-superyacht-directory/omega--47231,Mitsubishi HI, 82.50m , 1985 , 17kts , 15kts ,, 11.58m , 32 , 30 
EOS',http://www.boatinternational.com/yachts/the-superyacht-directory/eos--60561,Lurssen, 92.93m , 2006 , 16kts , 14kts ,, 13.5m , 16 , 21 
Here Comes The Sun,http://www.boatinternational.com/yachts/the-superyacht-directory/here-comes-the-sun--82787,Amels, 83.00m , 2016 , 17kts , 15kts , 5500nm , 14.54m , 16 , 27 
Savannah,http://www.boatinternational.com/yachts/the-superyacht-directory/savannah--58383,Feadship, 83.50m , 2015 ,,,, 12.5m , 12 , 26 
Ace,http://www.boatinternational.com/yachts/the-superyacht-directory/ace--56975,Lurssen, 85.00m , 2012 ,,,, 14.5m , 12 ,
Valerie,http://www.boatinternational.com/yachts/the-superyacht-directory/valerie--60535,Lurssen, 85.10m , 2011 ,,,,, 12 ,
Solandge,http://www.boatinternational.com/yachts/the-superyacht-directory/solandge--56969,Lurssen, 85.10m , 2013 , 17kts , 15kts , 6000nm , 13.8m , 12 , 29 
Pacific,http://www.boatinternational.com/yachts/the-superyacht-directory/pacific--60531,Lurssen, 85.20m , 2010 , 20kts ,,, 16.0m ,, 28 
Vibrant Curiosity's,http://www.boatinternational.com/yachts/the-superyacht-directory/vibrant-curiosity--55429,Oceanco, 85.47m , 2009 , 20kts , 16kts , 5500nm , 14.2m , 14 , 30 
Sunrays,http://www.boatinternational.com/yachts/the-superyacht-directory/sunrays--55433,Oceanco, 85.50m , 2010 , 20kts , 16kts , 5500nm , 14.2m , 16 , 23 
St. Princess Olga,http://www.boatinternational.com/yachts/the-superyacht-directory/st-princess-olga--56977,Oceanco, 85.60m , 2013 , 18kts , 15kts ,, 14.2m ,,
Aquijo,http://www.boatinternational.com/yachts/the-superyacht-directory/aquijo--39487,Vitters, 85.90m , 2015 ,,,, 14.48m ,,
Aquila,http://www.boatinternational.com/yachts/the-superyacht-directory/aquila--67805,Derecktor, 85.60m , 2010 , 17kts , 15kts , 5000nm , 14.3m , 14 , 26 
Ecstasea,http://www.boatinternational.com/yachts/the-superyacht-directory/ecstasea--66593,Feadship, 85.95m , 2004 , 36kts , 25kts ,, 11.5m , 12 ,
Seven Seas,http://www.boatinternational.com/yachts/the-superyacht-directory/seven-seas--55439,Oceanco, 86.01m , 2010 , 20kts , 16kts , 5500nm , 14.2m , 12 , 23 
Kingdom 5KR,http://www.boatinternational.com/yachts/the-superyacht-directory/kingdom-5kr--74941,Benetti, 85.90m , 1980 , 20kts , 17kts , 8500nm , 13.23m , 22 , 31 
Arctic P,http://www.boatinternational.com/yachts/the-superyacht-directory/arctic-p--52107,Schichau-Unterweser, 87.57m , 1969 , 18kts , 15kts , 17000nm , 14.78m , 12 , 25 
Musashi,http://www.boatinternational.com/yachts/the-superyacht-directory/musashi--66745,Feadship, 87.78m , 2011 , 21kts , 15kts ,, 13.9m ,,
